ID/name,item_code,item_group,stock_uom,variant_of,item_name,gst_hsn_code,is_nil_exempt,is_non_gst,is_item_from_hub,disabled,allow_alternative_item,is_stock_item,include_item_in_manufacturing,opening_stock,valuation_rate,standard_rate,is_fixed_asset,auto_create_assets,asset_category,asset_naming_series,over_delivery_receipt_allowance,over_billing_allowance,brand,description,shelf_life_in_days,end_of_life,default_material_request_type,valuation_method,warranty_period,weight_per_unit,weight_uom,has_batch_no,create_new_batch,batch_number_series,has_expiry_date,retain_sample,sample_quantity,has_serial_no,serial_no_series,has_variants,variant_based_on,is_purchase_item,purchase_uom,min_order_qty,safety_stock,lead_time_days,last_purchase_rate,is_customer_provided_item,customer,delivered_by_supplier,country_of_origin,customs_tariff_number,sales_uom,is_sales_item,max_discount,deferred_revenue_account,enable_deferred_revenue,no_of_months,deferred_expense_account,enable_deferred_expense,no_of_months_exp,inspection_required_before_purchase,inspection_required_before_delivery,quality_inspection_template,default_bom,is_sub_contracted_item,default_item_manufacturer,default_manufacturer_part_no,show_in_website,show_variant_in_website,route,weightage,slideshow,website_image,thumbnail,website_warehouse,web_long_description,website_content,publish_in_hub,hub_category_to_publish,hub_warehouse,synced_with_hub,~,name,barcode,barcode_type,~,name,warehouse,warehouse_reorder_level,material_request_type,warehouse_group,warehouse_reorder_qty,~,name,uom,conversion_factor,~,name,attribute,variant_of,attribute_value,numeric_values,from_range,increment,to_range,~,name,company,default_warehouse,default_price_list,buying_cost_center,default_supplier,expense_account,selling_cost_center,income_account,~,name,supplier,supplier_part_no,~,name,ref_code,customer_name,customer_group,~,name,item_tax_template,tax_category,valid_from,~,name,item_group,~,name,label,description
"""TCC-001-7500-7500""",TCC-001-7500-7500,Soil,bore,TCC-001,Soil Investigation-7500-7500,,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,,0.0,0.0,,Soil Investigation-7500-7500,0,31-12-2099,Purchase,,,0.0,,0,0,,0,0,0,0,,0,Item Attribute,1,,0.0,0.0,0,0.0,0,,0,India,,,1,0.0,,0,0,,0,0,0,0,,,0,,,0,0,,0,,,,,,,0,,,0,,,,,,,,,,,,,"""5377b26450""",bore,1.0,,"""dd94830a0a""",up to 10m,TCC-001,7500,0,0.0,0.0,0.0,,"""8a76b75065""",Testing and Consultancy Cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""499f1942b7""",10m - 20m,TCC-001,7500,0,0.0,0.0,0.0,,"""851fb00887""",Testing and Consultancy Cell2,,,,,,,Sales - TCC2,,,,,,,,,,,,,,,,,,,,,
"""TCC-001""",TCC-001,Soil,bore,,Soil Investigation,,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,,0.0,0.0,,Soil Investigation,0,31-12-2099,Purchase,,,0.0,,0,0,,0,0,0,0,,1,Item Attribute,1,,0.0,0.0,0,0.0,0,,0,India,,,1,0.0,,0,0,,0,0,0,0,,,0,,,0,0,,0,,,,,,,0,,,0,,,,,,,,,,,,,"""85b2894ec3""",bore,1.0,,"""f137499884""",up to 10m,,,0,0.0,0.0,0.0,,"""f33257401d""",Testing and Consultancy Cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""7b2d2f6805""",10m - 20m,,,1,7500.0,950.0,17000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""41135a8fc3""",Soil Investigation (20m - 30m),,,1,17000.0,1250.0,29500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""fb0338c87c""",Soil Investigation (30m - 40m),,,1,29500.0,1550.0,45000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""rd-02""",rd-02,Structural,Set,,rod-axial loads,,0,0,0,0,0,1,1,10.0,0.0,15200.0,0,0,,,0.0,0.0,,rod-axial loads,0,31-12-2099,Purchase,,,0.0,,0,0,,0,0,0,0,,0,Item Attribute,1,,0.0,0.0,0,0.0,0,,0,India,,,1,0.0,,0,0,,0,0,0,0,,,0,,,0,0,,0,,,,,,,0,,,0,,,,,,,,,,,,,"""ca8eb5c5fc""",Set,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""slt-01""",slt-01,Structural,Nos,,steel Sheet,,0,0,0,0,0,1,1,15.0,0.0,20000.0,0,0,,,0.0,0.0,,steel Sheet,0,31-12-2099,Purchase,,,0.0,,0,0,,0,0,0,0,,0,Item Attribute,1,,0.0,0.0,0,0.0,0,,0,India,,,1,0.0,,0,0,,0,0,0,0,,,0,,,0,0,,0,,,,,,,0,,,0,,,,,,,,,,,,,"""4ed49c71e7""",Nos,1.0,,,,,,,,,,,"""e19664c34e""",TCC-3,,,,,,,Sales - T,,,,,,,,,,,,,,,,,,,,,
"""WAT-500""",WAT-500,Brick,sample,,Water Absorption Test,,0,0,0,0,0,1,1,0.0,0.0,0.0,0,0,,,0.0,0.0,,Water Absorption Test,0,31-12-2099,Purchase,,,0.0,,0,0,,0,0,0,0,,0,Item Attribute,1,,0.0,0.0,0,0.0,0,,0,India,,,1,0.0,,0,0,,0,0,0,0,,,0,,,0,0,,0,,,,,,,0,,,0,,,,,,,,,,,,,"""34911c182b""",sample,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""CT-300""",CT-300,Brick,sample,,Compression Test,,0,0,0,0,0,1,1,0.0,0.0,0.0,0,0,,,0.0,0.0,,Compression Test,0,31-12-2099,Purchase,,,0.0,,0,0,,0,0,0,0,,0,Item Attribute,1,,0.0,0.0,0,0.0,0,,0,India,,,1,0.0,,0,0,,0,0,0,0,,,0,,,0,0,,0,,,,,,,0,,,0,,,,,,,,,,,,,"""0b35a02ac4""",sample,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""TCC2-001-VT""",TCC2-001-VT,Structural,Unit,TCC2-001,Temp-VT,,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,,0.0,0.0,,Temp-VT,0,31-12-2099,Purchase,,,0.0,,0,0,,0,0,0,0,,0,Item Attribute,1,,0.0,0.0,0,0.0,0,,0,India,,,1,0.0,,0,0,,0,0,0,0,,,0,,,0,0,,0,,,,,,,0,,,0,,,,,,,,,,,,,"""4fad36e077""",Unit,1.0,,"""7993916b64""",attribute-temp,TCC2-001,value-temp,0,0.0,0.0,0.0,,"""b9c71e3367""",Testing and Consultancy Cell2,,TCC2 pricing,,,,,Sales - TCC2,,,,,,,,,,,,,,,,,,,,,
"""TCC2-001""",TCC2-001,Structural,Unit,,Temp,,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,,0.0,0.0,,Temp,0,31-12-2099,Purchase,,,0.0,,0,0,,0,0,0,0,,1,Item Attribute,1,,0.0,0.0,0,0.0,0,,0,India,,,1,0.0,,0,0,,0,0,0,0,,,0,,,0,0,,0,,,,,,,0,,,0,,,,,,,,,,,,,"""463e2fb814""",Unit,1.0,,"""ca1e2d8423""",attribute-temp,,,0,0.0,0.0,0.0,,"""5c4cc20e5d""",Testing and Consultancy Cell2,,TCC Pricing,,,,,,,,,,,,,,,,,,,,,,,,,,
"""TCC-002-UP TO 450 KL""",TCC-002-UP TO 450 KL,Structural,kilolitre,TCC-002,OHSR-UP TO 450 KL,,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,,0.0,0.0,,OHSR-UP TO 450 KL,0,31-12-2099,Purchase,,,0.0,,0,0,,0,0,0,0,,0,Item Attribute,1,,0.0,0.0,0,0.0,0,,0,India,,,1,0.0,,0,0,,0,0,0,0,,,0,,,0,0,,0,,,,,,,0,,,0,,,,,,,,,,,,,"""c197745cc5""",kilolitre,1.0,,"""3d2a6c0d28""",OHSR,TCC-002,up to 450 kl,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""TCC-002-ABOVE 450 KL""",TCC-002-ABOVE 450 KL,Structural,kilolitre,TCC-002,OHSR-ABOVE 450 KL,,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,,0.0,0.0,,OHSR-ABOVE 450 KL,0,31-12-2099,Purchase,,,0.0,,0,0,,0,0,0,0,,0,Item Attribute,1,,0.0,0.0,0,0.0,0,,0,India,,,1,0.0,,0,0,,0,0,0,0,,,0,,,0,0,,0,,,,,,,0,,,0,,,,,,,,,,,,,"""5c1e5f9b68""",kilolitre,1.0,,"""e25425ef90""",OHSR,TCC-002,above 450 kl,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""TCC-002""",TCC-002,Structural,kilolitre,,OHSR,,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,,0.0,0.0,,OHSR,0,31-12-2099,Purchase,,,0.0,,0,0,,0,0,0,0,,1,Item Attribute,1,,0.0,0.0,0,0.0,0,,0,India,,,1,0.0,,0,0,,0,0,0,0,,,0,,,0,0,,0,,,,,,,0,,,0,,,,,,,,,,,,,"""cc798d8cdf""",kilolitre,1.0,,"""5beb134750""",OHSR,,,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""TCC-003-ABOVE 6 STOREYS""",TCC-003-ABOVE 6 STOREYS,Structural,Square Foot,TCC-003,Buildings-ABOVE 6 STOREYS,,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,,0.0,0.0,,Buildings-ABOVE 6 STOREYS,0,31-12-2099,Purchase,,,0.0,,0,0,,0,0,0,0,,0,Item Attribute,1,,0.0,0.0,0,0.0,0,,0,India,,,1,0.0,,0,0,,0,0,0,0,,,0,,,0,0,,0,,,,,,,0,,,0,,,,,,,,,,,,,"""b2a766b4ba""",Square Foot,1.0,,"""db8f9e9c91""",Buildings,TCC-003,Above 6 storeys,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""TCC-003-4 TO 6 STOREYS""",TCC-003-4 TO 6 STOREYS,Structural,Square Foot,TCC-003,Buildings-4 TO 6 STOREYS,,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,,0.0,0.0,,Buildings-4 TO 6 STOREYS,0,31-12-2099,Purchase,,,0.0,,0,0,,0,0,0,0,,0,Item Attribute,1,,0.0,0.0,0,0.0,0,,0,India,,,1,0.0,,0,0,,0,0,0,0,,,0,,,0,0,,0,,,,,,,0,,,0,,,,,,,,,,,,,"""cfec4ec1f3""",Square Foot,1.0,,"""06fe1b49d1""",Buildings,TCC-003,4 to 6 storeys,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""TCC-003-UP TO 3 STOREYS""",TCC-003-UP TO 3 STOREYS,Structural,Square Foot,TCC-003,Buildings-UP TO 3 STOREYS,,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,,0.0,0.0,,Buildings-UP TO 3 STOREYS,0,31-12-2099,Purchase,,,0.0,,0,0,,0,0,0,0,,0,Item Attribute,1,,0.0,0.0,0,0.0,0,,0,India,,,1,0.0,,0,0,,0,0,0,0,,,0,,,0,0,,0,,,,,,,0,,,0,,,,,,,,,,,,,"""4d74abe1af""",Square Foot,1.0,,"""318433b722""",Buildings,TCC-003,Up to 3 storeys,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""TCC-003""",TCC-003,Structural,Square Foot,,Buildings,,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,,0.0,0.0,,Buildings,0,31-12-2099,Purchase,,,0.0,,0,0,,0,0,0,0,,1,Item Attribute,1,,0.0,0.0,0,0.0,0,,0,India,,,1,0.0,,0,0,,0,0,0,0,,,0,,,0,0,,0,,,,,,,0,,,0,,,,,,,,,,,,,"""9c4680bfdf""",Square Foot,1.0,,"""8171dfe544""",Buildings,,,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""TCC ENVIRONMENTAL-WATER ABSORPTION""",TCC ENVIRONMENTAL-WATER ABSORPTION,Services,Unit,TCC ENVIRONMENTAL,Testing of Bricks-WATER ABSORPTION,,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,,0.0,0.0,,Testing of Bricks-WATER ABSORPTION,0,31-12-2099,Purchase,,,0.0,,0,0,,0,0,0,0,,0,Item Attribute,1,,0.0,0.0,0,0.0,0,,0,India,,,1,0.0,,0,0,,0,0,0,0,,,0,,,0,0,,0,,,,,,,0,,,0,,,,,,,,,,,,,"""5ce32442bd""",Unit,1.0,,"""07818645ef""",Test,TCC ENVIRONMENTAL,Water absorption,0,0.0,0.0,0.0,,"""cf3f319fc6""",Testing and Consultancy Cell,,,,,,,Sales - TCC,,,,,,,,,,,,,,,,,,,,,
"""TCC ENVIRONMENTAL""",TCC ENVIRONMENTAL,Services,Unit,,Testing of Bricks,,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,,0.0,0.0,,Testing of Bricks,0,31-12-2099,Purchase,,,0.0,,0,0,,0,0,0,0,,1,Item Attribute,1,,0.0,0.0,0,0.0,0,,0,India,,,1,0.0,,0,0,,0,0,0,0,,,0,,,0,0,,0,,,,,,,0,,,0,,,,,,,,,,,,,"""41473a0762""",Unit,1.0,,"""4dd08d3723""",Test,,,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
